INFO:root:Start Ingesting 2015-10-26T12:48:41.391200+08:00
INFO:root:Start Ingesting 2015-10-26T12:48:47.289662+08:00
INFO:root:Start Ingesting 2015-10-26T13:24:21.291573+08:00
INFO:root:Start Ingesting 2015-10-26T13:26:12.203152+08:00
INFO:root:Start Ingesting 2015-10-26T13:26:51.536140+08:00
INFO:root:Ingest Issues at [2015-10-26T13:26:51.538067+08:00], issue no[151026044]
INFO:root:Ingest Issues at [2015-10-26T13:27:22.709840+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:27:53.520023+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:28:24.193805+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:28:57.584442+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:29:28.464038+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:29:59.352194+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:30:30.552689+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:31:01.203091+08:00], issue no[151026045]
INFO:root:Ingest Issues at [2015-10-26T13:31:32.080306+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:32:02.739241+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:32:33.654007+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:33:04.638924+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:33:35.314680+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:34:06.255130+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:34:37.022800+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:35:08.959326+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:35:39.762026+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:36:12.452158+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:36:44.154809+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T13:37:14.936346+08:00], not updated yet!
